setup_id,weights,n_logs,mean_accuracy_full
C4_cash_reg_cash_features_cash_full_clean_all_algos_default,fitn,18,0.9976293753465681
C4_cash_reg_cash_features_cash_full_clean_all_algos_default,gen+sim,18,0.7610486327442701
C4_cash_reg_cash_features_cash_full_clean_all_algos_default,gene,18,0.9166056263356896
C4_cash_reg_cash_features_cash_full_clean_all_algos_default,mix-fit,18,0.8338597117046469
C4_cash_reg_cash_features_cash_full_clean_all_algos_default,mix-gen,18,0.8307970510240535
C4_cash_reg_cash_features_cash_full_clean_all_algos_default,mix-prec,18,0.8022475617914914
C4_cash_reg_cash_features_cash_full_clean_all_algos_default,mix-simp,18,0.8556965800988264
C4_cash_reg_cash_features_cash_full_clean_all_algos_default,pre+gen,18,0.7694312768821785
C4_cash_reg_cash_features_cash_full_clean_all_algos_default,pre+sim,18,0.7019924524498014
C4_cash_reg_cash_features_cash_full_clean_all_algos_default,prec,18,0.6412716016525359
C4_cash_reg_cash_features_cash_full_clean_all_algos_default,simp,18,0.6510511333848868
C5_cash_reg_cash_features_cash_full_clean_all_algos_hparams,equal,18,0.9440039491696464
C5_cash_reg_cash_features_cash_full_clean_all_algos_hparams,fit+gen,18,0.9927659045060666
C5_cash_reg_cash_features_cash_full_clean_all_algos_hparams,fit+pre,18,0.9521603016523404
C5_cash_reg_cash_features_cash_full_clean_all_algos_hparams,fit+sim,18,0.9700231419108211
C5_cash_reg_cash_features_cash_full_clean_all_algos_hparams,fitn,18,0.9992206154289937
C5_cash_reg_cash_features_cash_full_clean_all_algos_hparams,gen+sim,18,0.9160007061562351
C5_cash_reg_cash_features_cash_full_clean_all_algos_hparams,gene,18,0.9797464541892867
C5_cash_reg_cash_features_cash_full_clean_all_algos_hparams,mix-fit,18,0.9383658470962852
C5_cash_reg_cash_features_cash_full_clean_all_algos_hparams,mix-gen,18,0.9627511507518778
C5_cash_reg_cash_features_cash_full_clean_all_algos_hparams,mix-prec,18,0.933967708379707
C5_cash_reg_cash_features_cash_full_clean_all_algos_hparams,mix-simp,18,0.9679186850202142
C5_cash_reg_cash_features_cash_full_clean_all_algos_hparams,pre+gen,18,0.9201378367425883
C5_cash_reg_cash_features_cash_full_clean_all_algos_hparams,pre+sim,18,0.8834223744172033
C5_cash_reg_cash_features_cash_full_clean_all_algos_hparams,prec,18,0.8713972224937212
C5_cash_reg_cash_features_cash_full_clean_all_algos_hparams,simp,18,0.8901552637785747
