log,variant,status,error_type,error_message,discovery_time,fitness_time,precision_time,generalization_time,simplicity_time,log_fitness,precision,generalization,simplicity
hospital_billing,AM,ok,,,0.21346783638000488,0.9310710430145264,0.7021517753601074,0.9726881980895996,4.601478576660156e-05,0.6797553093982478,0.3867395245470101,0.9126072185051145,1.0
hospital_billing,HM,ok,,,0.5290751457214355,1.5008399486541748,0.7948238849639893,1.6040232181549072,7.796287536621094e-05,0.9173467015900871,0.9123894799338885,0.7467078683855117,0.47292418772563183
hospital_billing,IM,ok,,,0.45844483375549316,1.4573228359222412,8.04103136062622,1.8826749324798584,8.797645568847656e-05,1.0,0.5304980616975126,0.9349278974582218,0.6261682242990655
hospital_billing,IMf,ok,,,0.4621303081512451,1.4569590091705322,8.027600765228271,2.1009762287139893,8.416175842285156e-05,1.0,0.5304980616975126,0.9349278974582218,0.6261682242990655
hospital_billing,IMd,ok,,,0.08744120597839355,1.052379846572876,1.836590051651001,1.3088109493255615,5.2928924560546875e-05,1.0,0.3914123626063982,0.9406716490462893,0.5
road_traffic_fines,AM,ok,,,0.25292420387268066,1.1246871948242188,0.24673771858215332,1.0152602195739746,5.1975250244140625e-05,0.637766272135165,0.6623544318535728,0.9855500389488964,0.6571428571428571
road_traffic_fines,HM,ok,,,0.6034369468688965,0.9413950443267822,0.2462141513824463,0.8267440795898438,6.198883056640625e-05,0.9285491762921444,0.9913625082917359,0.9268948812711274,0.5462184873949579
road_traffic_fines,IM,ok,,,0.2961440086364746,0.9348700046539307,0.3584108352661133,1.4274070262908936,6.389617919921875e-05,1.0,0.5822525881810321,0.9752594106217893,0.6237623762376238
road_traffic_fines,IMf,ok,,,0.10759401321411133,0.928015947341919,0.3542041778564453,1.2210297584533691,5.984306335449219e-05,1.0,0.5822525881810321,0.9752594106217893,0.6237623762376238
road_traffic_fines,IMd,ok,,,0.30072808265686035,0.9087958335876465,0.26590895652770996,1.1539270877838135,4.982948303222656e-05,1.0,0.5080563293025482,0.9882555296821361,0.5135135135135136
bpi2017,AM,ok,,,0.41069793701171875,13.854642152786255,77.49417781829834,12.97721004486084,0.00017976760864257812,0.38258984617069436,0.09036668421905925,0.9824200959583872,0.5277777777777778
bpi2017,HM,ok,,,1.2659039497375488,29.656595945358276,147.21800923347473,29.57611584663391,0.00021195411682128906,0.9545751442877021,0.6710730616980617,0.9289273388273477,0.5186721991701245
bpi2017,IM,ok,,,32.311267137527466,32.24714994430542,876.9522840976715,33.05605483055115,0.00023603439331054688,1.0,0.1406587530076867,0.9484917562396579,0.6283185840707964
bpi2017,IMf,ok,,,32.425692081451416,32.3916699886322,881.3971109390259,33.14302110671997,0.00021004676818847656,1.0,0.1406587530076867,0.9484917562396579,0.6283185840707964
bpi2017,IMd,ok,,,0.6466760635375977,18.473111867904663,346.00390696525574,19.01591396331787,0.0001888275146484375,1.0,0.08789086122364775,0.9845259865970262,0.4418604651162791
